,v1,v2
0,ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,ham,ok lar joking wif oni
2,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate cs apply
3,ham,dun say early hor c already say
4,ham,nah dont think goes usf lives around though
5,spam,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv
6,ham,even brother like speak treat like aids patent
7,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
8,spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
9,spam,mobile months r entitled update latest colour mobiles camera free call mobile update co free
10,ham,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today
11,spam,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info
12,spam,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,ham,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
14,ham,date sunday
15,spam,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,ham,oh k im watching
17,ham,eh remember spell name yes v naughty make v wet
18,ham,fine way feel way gota b
19,spam,england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox w wq
20,ham,seriously spell name
21,ham,going try months ha ha joking
22,ham,pay first lar da stock comin
23,ham,aft finish lunch go str lor ard smth lor finish ur lunch already
24,ham,ffffffffff alright way meet sooner
25,ham,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
26,ham,lol always convincing
27,ham,catch bus frying egg make tea eating moms left dinner feel love
28,ham,im back amp packing car ill let know theres room
29,ham,ahhh work vaguely remember feel like lol
30,ham,wait thats still clear sure sarcastic thats x doesnt want live us
31,ham,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
32,ham,k tell anything
33,ham,fear fainting housework quick cuppa
34,spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
35,ham,yup ok go home look timings msg xuhui going learn nd may lesson
36,ham,oops ill let know roommates done
37,ham,see letter b car
38,ham,anything lor decide
39,ham,hello hows saturday go texting see youd decided anything tomo im trying invite anything
40,ham,pls go ahead watts wanted sure great weekend abiola
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,spam,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
43,ham,seeing
44,ham,great hope like man well endowed lt gt inches
45,ham,calls messages missed calls
46,ham,didnt get hep b immunisation nigeria
47,ham,fair enough anything going
48,ham,yeah hopefully tyler cant could maybe ask around bit
49,ham,dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
50,ham,thinked first time saw class
51,ham,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
52,ham,k fyi x ride early tomorrow morning hes crashing place tonight
53,ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
54,spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
55,ham,know mallika sherawat yesterday find lt url gt
56,spam,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss
57,ham,sorry ill call later meeting
58,ham,tell reached
59,ham,yes gauti sehwag odi series
60,ham,gonna pick burger way home cant even move pain killing
61,ham,ha ha ha good joke girls situation seekers
62,ham,part checking iq
63,ham,sorry roommates took forever ok come
